Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10",402,2,1uF,C52923
"C11, C12, C17, C2, C3, C4, C5, C6, C7, C8, C9",402,11,0.1uF,C1525
"C13, C14",603,2,10uF,C19702
"C15, C16",402,2,33pF,C1562
D1,603,1,LED,C2290
J1,USB_A_Molex_48037-2200_Horizontal,1,USB_A,C2765195
"R1, R2",402,2,22,C25092
"R3, R5, R6",402,3,1K,C11702
R4,402,1,10K,C25744
SW1,SW_Push_SPST_NO_Alps_SKRK,1,SW_Push,C202388
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
U2,SOT-23,1,MCP1700x-330xxTT,C39051
U3,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,1,W25Q16JVUXIQ TR,C2843335
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12 MHz,C93234
