Designator,Mid X,Mid Y,Rotation,Layer
C1,124.739411,-73.860589,45,top
C10,119.8,-69.3,90,top
C11,120.815,-84.2,270,top
C12,122.68,-71.17,0,top
C13,115.125,-60.5,180,top
C14,116.025,-66,180,top
C15,114.315,-86.15,270,top
C16,119.715,-86.15,90,top
C17,117.555,-67.95,180,top
C2,123,-73.3,90,top
C3,124.6,-75.5,0,top
C4,124.7,-79.1,0,top
C5,119.715,-84.18,270,top
C6,114.9,-79.62,270,top
C7,114.72,-74.5,180,top
C8,120.9,-68.3,90,top
C9,122,-67.7,90,top
D1,124.3,-85.4,90,top
J1,119.51,-46.475,180,top
R1,120.2,-72.5,270,top
R2,121.2,-72.5,270,top
R3,117.615,-83.75,180,top
R4,115.485,-67.95,180,top
R5,124.99,-66.2,180,top
R6,124.3,-82.7,270,top
SW1,124.7,-62.8,270,top
U1,119.5,-78.1,0,top
U2,116.05,-63.2625,270,top
U3,116.3,-69.8,270,top
Y1,117.015,-86.15,180,top
